length,repeats,encrypt_ms,decrypt_ms,brute_force_ms,statistical_crack_ms
5,3,0.005933339707553387,0.006166655415048202,0.13050000416114926,0.9294333285652101
10,3,0.013933342415839434,0.014833349268883467,0.30486667916799587,0.7385666637370983
